馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
アリスヴェリテ,阪神ジュベナイルフィリーズ,2,1,,3,6,1,,,,2,,,5,
アロマデローサ,阪神ジュベナイルフィリーズ,2,1,,10,1,1,,,,2,,2,4,
イティネラトール,阪神ジュベナイルフィリーズ,2,1,,1,3,1,,,,5,,2,8,
ウンブライル,阪神ジュベナイルフィリーズ,2,1,,1,1,1,,,,4,,2,7,
エイムインライフ,阪神ジュベナイルフィリーズ,2,1,,6,3,1,,,,5,,,1,
キタウイング,阪神ジュベナイルフィリーズ,2,1,,1,4,1,,,,2,,,14,
コンクシェル,阪神ジュベナイルフィリーズ,2,1,,6,4,1,,,,5,,,2,
サラサハウプリティ,阪神ジュベナイルフィリーズ,2,1,,5,7,,,,,2,,2,4,
サンティーテソーロ,阪神ジュベナイルフィリーズ,2,1,,1,1,1,,,,5,,,9,
シンリョクカ,阪神ジュベナイルフィリーズ,2,1,,1,4,1,,,,5,,,8,
ダンシングニードル,阪神ジュベナイルフィリーズ,2,1,,2,2,1,,,,5,,4,,
ドゥアイズ,阪神ジュベナイルフィリーズ,2,1,,2,6,,,,,2,,-2,13,
ドゥーラ,阪神ジュベナイルフィリーズ,2,1,,1,1,,,,,2,,-2,13,
ハウピア,阪神ジュベナイルフィリーズ,2,1,,1,4,1,,,,6,,2,8,
ブトンドール,阪神ジュベナイルフィリーズ,2,1,,2,2,,,,,2,,2,4,
マラキナイア,阪神ジュベナイルフィリーズ,2,1,,5,4,,,,,2,,,5,
ミシシッピテソーロ,阪神ジュベナイルフィリーズ,2,1,,9,5,1,,,,2,,,5,
ミスヨコハマ,阪神ジュベナイルフィリーズ,2,1,,1,5,1,,,,5,,,2,
ムーンプローブ,阪神ジュベナイルフィリーズ,2,1,,1,4,1,,,,5,,,1,
メイショウコギク,阪神ジュベナイルフィリーズ,2,1,,3,5,1,,,,5,,2,2,
モズメイメイ,阪神ジュベナイルフィリーズ,2,1,,1,1,1,,,,5,,,2,
モリアーナ,阪神ジュベナイルフィリーズ,2,1,,1,1,,,,,4,,-2,16,
ユリーシャ,阪神ジュベナイルフィリーズ,2,1,,1,3,1,,,,6,,,3,
ライトクオンタム,阪神ジュベナイルフィリーズ,2,1,,1,1,1,,,,5,,,3,
ラヴェル,阪神ジュベナイルフィリーズ,2,1,,1,3,,,,,2,,,5,
リバティアイランド,阪神ジュベナイルフィリーズ,2,1,,2,1,,,,,2,,,5,
リバーラ,阪神ジュベナイルフィリーズ,2,1,,1,10,,,,,2,,2,4,
ルミノメテオール,阪神ジュベナイルフィリーズ,2,1,,1,2,1,,,,5,,2,5,
ヴィエンヌ,阪神ジュベナイルフィリーズ,2,1,,1,2,,,,,5,,4,5,
