馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝から変更,前走ダートから変更,前走障害から変更,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
クリノプレミアム,エリザベス女王杯,5,1,,8,10,1,,,,1,2,4,3,
ローザノワール,エリザベス女王杯,6,1,,15,9,,,,,1,2,4,3,
ピンハイ,エリザベス女王杯,3,1,,1,1,,,,,5,1,4,3,
デアリングタクト,エリザベス女王杯,5,1,,6,1,,,,,1,2,,6,
マジカルラグーン,エリザベス女王杯,3,1,,5,5,,,,,,-3,-1.7,12,1
ホウオウエミーズ,エリザベス女王杯,5,1,,1,8,1,,,,4,2,,2,
イズジョーノキセキ,エリザベス女王杯,5,1,,1,12,1,,,,1,2,4,3,
アンドヴァラナウト,エリザベス女王杯,4,1,,3,3,1,,,,1,2,4,3,
ウインキートス,エリザベス女王杯,5,1,,3,7,,,,,1,2,,6,
スタニングローズ,エリザベス女王杯,3,1,,1,3,,,,,,-1,2,3,
ナミュール,エリザベス女王杯,3,1,,2,2,,,,,,-1,2,3,
ルビーカサブランカ,エリザベス女王杯,5,1,,4,6,,,,,2,1,4,14,
ウインマリリン,エリザベス女王杯,5,1,,3,5,1,,,,1,1,2,11,
アカイイト,エリザベス女王杯,5,1,,10,8,,,,,1,,4,3,
ライラック,エリザベス女王杯,3,1,,10,6,,,,,,-1,2,3,
テルツェット,エリザベス女王杯,5,1,,1,2,,,,,2,,4,14,
ウインマイティ―,エリザベス女王杯,5,1,,3,3,,,,,1,2,-2,4,
ジェラルディーナ,エリザベス女王杯,4,1,,1,5,1,,,,1,,,6,
