レース名,馬名,コース,枠番,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
皐月賞,ソールオリエンス,Nakayama,One,3,,1,1,2,,,,,2,1,,12,
皐月賞,ワンダイレクト,Nakayama,One,3,,1,3,2,1,,,,1,1,,5,
皐月賞,グリューネグリーン,Nakayama,Two,3,,1,8,6,1,,,,1,1,,5,
皐月賞,ショウナンバシット,Nakayama,Two,3,,1,1,2,1,,,,3,1,,3,
皐月賞,フリームファクシ,Nakayama,Three,3,,1,1,1,1,,,,2,1,,9,
皐月賞,ウインオーディン,Nakayama,Three,3,,1,5,10,1,,,,2,1,2,8,
皐月賞,ファントムシーフ,Nakayama,Four,3,,1,1,3,,,,,2,1,2,8,
皐月賞,トップナイフ,Nakayama,Four,3,,1,2,1,,,,,1,1,,5,
皐月賞,ホウオウビスケッツ,Nakayama,Five,3,,1,2,3,,,,,1,1,2,3,
皐月賞,ラスハンメル,Nakayama,Five,3,,1,2,5,1,,,,3,1,,3,
皐月賞,シャザーン,Nakayama,Six,3,,1,1,1,,,,,3,1,-2,6,
皐月賞,ダノンタッチダウン,Nakayama,Six,3,,1,2,2,,,,,,2,4,16,
皐月賞,グラニット,Nakayama,Seven,3,,1,4,13,,,,,1,1,2,3,
皐月賞,タスティエーラ,Nakayama,Seven,3,,1,1,3,,,,,1,1,,5,
皐月賞,ベラジオオペラ,Nakayama,Seven,3,,1,1,2,1,,,,1,1,2,3,
皐月賞,タッチウッド,Nakayama,Eight,3,,1,2,5,1,,,,2,1,2,8,
皐月賞,メタルスピード,Nakayama,Eight,3,,1,3,8,,,,,1,1,2,3,
皐月賞,マイネルラウレア,Nakayama,Eight,3,,1,1,2,1,,,,3,1,,11,
